Plaats,Woon- plaats- code,Postcode (laagste tot hoogste),Gemeente met link naar gemeentelijke website,Provincie
Biggekerke,2775,4373–4373,Veere,Zeeland
Bijsteren,,3882–3882,Putten,Gelderland
Bijsterveld,,5513–5513,Eersel,Noord-Brabant
Bikbergen,,1272–1272,Huizen,Noord-Holland
Bikkershorn,,9678–9678,Oldambt,Groningen
Bilderdam,,2451–2451,Kaag en Braassem,Zuid-Holland
Billinghuizen,,6271–6271,Gulpen-Wittem,Limburg
Bilt,,6107–6107,Maasgouw,Limburg
De Bilt,2934,3731–3732,De Bilt,Utrecht
Bilthoven,2935,3721–3723,De Bilt,Utrecht
Bingelrade,2845,6456–6456,Beekdaelen,Limburg
Bingerden,,6986–6986,Zevenaar,Gelderland
Binnen-Moerdijk,,4766–4766,Drimmelen,Noord-Brabant
De Birkt,,3768–3768,Soest,Utrecht
Birstum / Burstum,,8494–8494,Heerenveen,Fryslân
Bisschopswetering,,8293–8293,Kampen,Overijssel
Bisselt,,6585–6585,Mook en Middelaar,Limburg
Bissen,,6281–6281,Gulpen-Wittem,Limburg
Bitgum / Beetgum,2722,9044–9044,Waadhoeke,Fryslân
Bitgummole / Beetgumermolen,2723,9045–9045,Waadhoeke,Fryslân
Blaaksedijk,,3271–3274,Hoeksche Waard,Zuid-Holland
Bladel,1064,5531–5531,Bladel,Noord-Brabant
Blaker,,2678–2678,Westland,Zuid-Holland
Blankenberg,,6582–6611,Heumen,Gelderland
Blankenham,2695,8373–8373,Steenwijkerland,Overijssel
Blaricum,2828,1261–1262,Blaricum,Noord-Holland
Blauw,,9354–9354,Westerkwartier,Groningen
Blauwe Hand,,7946–7946,Steenwijkerland,Overijssel
Blauwe Sluis,,4766–4766,Drimmelen,Noord-Brabant
Blauwe Sluis,,4651–4651,Steenbergen,Noord-Brabant
Blauwenhoek,,5841–5841,Sint Anthonis,Noord-Brabant
Blauwesluis,,6629–6629,West Maas en Waal,Gelderland
Blauwestad,3509,9686–9686,Oldambt,Groningen
Blauwewijk,,4471–4471,Goes,Zeeland
Blauwhuis / Blauhûs,2401,8615–8615,Súdwest-Fryslân,Fryslân
Blauwkapel,,3737–3737,De Bilt,Utrecht
Blauwverlaat / Blauforlaet,,9284–9284,Achtkarspelen,Fryslân
Bleijenbeek,,5851–5851,Bergen,Limburg
Bleijs,,5752–5752,Deurne,Noord-Brabant
Bleiswijk,1689,2665–2665,Lansingerland,Zuid-Holland
Blekslage,,9591–9591,Stadskanaal,Groningen
Blenkert,,6088–6088,Leudal,Limburg
Blerick,,5921–5925,Venlo,Limburg
Blesdijke / Blesdike,1720,8398–8398,Weststellingwerf,Fryslân
Bleskensgraaf,,2971–2971,Molenlanden,Zuid-Holland
De Blesse,1722,8397–8397,Weststellingwerf,Fryslân
Blessum,2725,9032–9032,Waadhoeke,Fryslân
Blijdenstein,,7961–7961,De Wolden,Drenthe
Blije / Blija,3199,9171–9171,Noardeast-Fryslân,Fryslân
Blijham,2232,9697–9697,Westerwolde,Groningen
De Blijnse,,8872–8872,Harlingen,Fryslân
Blitterswijck,1856,5863–5863,Venray,Limburg
Bloemberg,,7924–7924,De Wolden,Drenthe
Bloemendaal,2654,2061–2061,Bloemendaal,Noord-Holland
De Blokken,,8749–8749,Súdwest-Fryslân,Fryslân
Blokker,3613,1695–1695,Hoorn,Noord-Holland
Blokland,,3417–3417,Montfoort,Utrecht
Blokland,,1428–1428,Nieuwkoop,Zuid-Holland
Blokum,,9623–9623,Midden-Groningen,Groningen
Blokzijl,2696,8356–8356,Steenwijkerland,Overijssel
Boatebuorren / Boteburen,,9172–9172,Noardeast-Fryslân,Fryslân
Boazum / Bozum,2011,8635–8635,Súdwest-Fryslân,Fryslân
De Boberden,,6039–6039,Weert,Limburg
Bocholtz,3066,6351–6351,Simpelveld,Limburg
Bocholtzerheide,,6351–6351,Simpelveld,Limburg
De Bocht,,4651–4651,Steenbergen,Noord-Brabant
Boddenbroek,,5808–5808,Venray,Limburg
Bodegraven,2665,2411–2411,Bodegraven-Reeuwijk,Zuid-Holland
Boeiink,,4703–4703,Roosendaal,Noord-Brabant
Boekel,3138,5427–5427,Boekel,Noord-Brabant
Boekel,,1921–1921,Castricum,Noord-Holland
Boekelo,,7548–7548,Enschede,Overijssel
Boekelte,,8392–8392,Weststellingwerf,Fryslân
Boekend,,5927–5927,Venlo,Limburg
Boekhorst,,8431–8431,Ooststellingwerf,Fryslân
Boelenslaan / Boelensloane,3174,9233–9233,Achtkarspelen,Fryslân
Boer,1371,8809–8809,Waadhoeke,Fryslân
De Boer,,5454–5454,Mill en Sint Hubert,Noord-Brabant
Ten Boer,1829,9791–9791,Groningen,Groningen
Boerakker,2259,9361–9362,Westerkwartier,Groningen
Boerakker,,9359–9359,Westerkwartier,Groningen
Boerdonk,,5469–5469,Meierijstad,Noord-Brabant
Boerelaan,,9321–9321,Noordenveld,Drenthe
Boerengat,,4542–4542,Terneuzen,Zeeland
Boerenhoek,,6687–6687,Lingewaard,Gelderland
Boerenhol,,4503–4503,Sluis,Zeeland
Boerenstreek,,9354–9354,Westerkwartier,Groningen
Boerhaar,,8131–8131,Olst-Wijhe,Overijssel
Boermastreek,,9574–9574,Borger-Odoorn,Drenthe
Boesingheliede,1615,2143–2143,Haarlemmermeer,Noord-Holland
Boijl / Boyl,1721,8392–8392,Weststellingwerf,Fryslân
Bokhoven,,5221–5221,s-Hertogenbosch,Noord-Brabant
Boksheide,,5521–5521,Eersel,Noord-Brabant
Boksum,2726,9031–9031,Waadhoeke,Fryslân
Bokt,,5633–5633,Eindhoven,Noord-Brabant
Bolberg,,4854–4854,Breda,Noord-Brabant
Bolberg,,5126–5126,Gilze en Rijen,Noord-Brabant
Bolenberg,,5951–5951,Venlo,Limburg
Bollingawier / Bollingwier,,9137–9137,Noardeast-Fryslân,Fryslân
Bolnes,,2987–2987,Ridderkerk,Zuid-Holland
Bolshuizen,,9892–9892,Westerkwartier,Groningen
Bolst,,5469–5469,Meierijstad,Noord-Brabant
Bolsward / Boalsert,2079,8701–8702,Súdwest-Fryslân,Fryslân
De Bolt,,5364–5364,Grave,Noord-Brabant
Den Bommel,2132,3258–3258,Goeree-Overflakkee,Zuid-Holland
Bommelskous,,3286–3286,Hoeksche Waard,Zuid-Holland
Bommerig,,6281–6281,Gulpen-Wittem,Limburg
Bong,,5991–5991,Peel en Maas,Limburg
Bong,,5941–5941,Venlo,Limburg
Bonkwert / Bonkwerd,,8843–8843,Waadhoeke,Fryslân
Bonnerveen,,9511–9511,Aa en Hunze,Drenthe
Bonrepas,,2855–2855,Krimpenerwaard,Zuid-Holland
Bontebok,2193,8415–8415,Heerenveen,Fryslân
Bontebrug,,7064–7064,Oude IJsselstreek,Gelderland
Bontemorgen,,4033–4033,Buren,Gelderland
Boomen,,5715–5715,Someren,Noord-Brabant
Boompjesdijk,,4671–4671,Steenbergen,Noord-Brabant
Booneschans,,9693–9693,Oldambt,Groningen
Boord,,5674–5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Boornbergum / Boarnburgum,3275,9212–9212,Smallingerland,Fryslân
Boornzwaag / Boarnsweach,2485,8526–8526,De Fryske Marren,Fryslân
Boornzwaag over de Wielen / Boarnsweach Oer de Wielen,,8526–8526,De Fryske Marren,Fryslân
Borculo,1659,7271–7271,Berkelland,Gelderland
Ter Borg,,9551–9551,Westerwolde,Groningen
Borger,1782,9531–9531,Borger-Odoorn,Drenthe
Borgercompagnie,2275,9632–9632,Midden-Groningen,Groningen
Borgercompagnie,1242,9631–9631,Veendam,Groningen
Borgertange,,9551–9551,Westerwolde,Groningen
Borgerveld,,9551–9551,Westerwolde,Groningen
Borgharen,,6223–6223,Maastricht,Limburg
Borgsweer,3233,9949–9949,Delfzijl,Groningen
Borgweg,,9608–9608,Midden-Groningen,Groningen
Borkel,,5556–5556,Valkenswaard,Noord-Brabant
Borkeld,,7451–7451,Rijssen-Holten,Overijssel
Born,2808,6121–6121,Sittard-Geleen,Limburg
Borne,3511,7621–7623,Borne,Overijssel
Borne,,5481–5481,Meierijstad,Noord-Brabant
Borneo,,5451–5451,Mill en Sint Hubert,Noord-Brabant
Bornerbroek,1926,7627–7627,Almelo,Overijssel
Bornwird / Boarnwert,3389,9156–9156,Noardeast-Fryslân,Fryslân
Bornwirdhuizen / Boarnwerthuzen,,9156–9156,Noardeast-Fryslân,Fryslân
Borssele,1252,4454–4454,Borsele,Zeeland
Borteldonk,,4707–4707,Roosendaal,Noord-Brabant
Op de Bos,,6088–6088,Leudal,Limburg
Bosch,,6021–6021,Cranendonck,Noord-Brabant
Het Bosch,,5531–5531,Bladel,Noord-Brabant
Bosch en Duin,2823,3735–3735,Zeist,Utrecht
Boscheind,,5575–5575,Bergeijk,Noord-Brabant
Boschheurne,,7244–7244,Lochem,Gelderland
Boschhoven,,5111–5111,Baarle-Nassau,Noord-Brabant
Boschhoven,,5595–5595,Heeze-Leende,Noord-Brabant
Boschkens,,5051–5051,Goirle,Noord-Brabant
Boschoord,3105,8387–8387,Westerveld,Drenthe
Boshoek,,8167–8167,Epe,Gelderland
Boshoven,,5131–5131,Alphen-Chaam,Noord-Brabant
Boshoven,,5561–5561,Bergeijk,Noord-Brabant
Boshoven,,6002–6002,Weert,Limburg
Boshuizen,,5807–5807,Venray,Limburg
Bosje,,9511–9511,Aa en Hunze,Drenthe
De Bosjes,,4111–4111,Buren,Gelderland
Boskamp,,8121–8121,Olst-Wijhe,Overijssel
Boskant,,5492–5492,Meierijstad,Noord-Brabant
Boskant,,6603–6603,Wijchen,Gelderland
Boskoop,2998,2771–2771,Alphen aan den Rijn,Zuid-Holland
Boslust,,5131–5131,Alphen-Chaam,Noord-Brabant
Bosschenhoofd,1249,4744–4744,Halderberge,Noord-Brabant
Bosschenhuizen,,6369–6369,Simpelveld,Limburg
Bosscherheide,,5855–5855,Bergen,Limburg
Bosserstraat,,6031–6031,Nederweert,Limburg
Bosven,,6039–6039,Weert,Limburg
Boterveen,,7991–7991,Westerveld,Drenthe
Boterwijk,,5688–5688,Oirschot,Noord-Brabant
Botlek,,3197–3197,Rotterdam,Zuid-Holland
Botshoofd,,4698–4698,Tholen,Zeeland
Bouchauterhaven,,4553–4553,Terneuzen,Zeeland
Boudewijnskerke,,4374–4374,Veere,Zeeland
Boukoul,,6071–6071,Roermond,Limburg
Bourtange,2294,9545–9545,Westerwolde,Groningen
Bouwerschap,,9791–9791,Groningen,Groningen
Boven Pekela,,9663–9663,Pekela,Groningen
Boven Veensloot,,9651–9651,Midden-Groningen,Groningen
Boven-Haastrecht,,2851–2851,Krimpenerwaard,Zuid-Holland
Boven-Hardinxveld,,3372–3372,Hardinxveld-Giessendam,Zuid-Holland
Boven-Leeuwen,1770,6657–6657,West Maas en Waal,Gelderland
Bovenberg,,2871–2871,Krimpenerwaard,Zuid-Holland
Boveneind,,5394–5394,Oss,Noord-Brabant
Boveneinde,,3775–3775,Barneveld,Gelderland
Bovenkarspel,1102,1611–1611,Stede Broec,Noord-Holland
Bovenkerk,,1187–1187,Amstelveen,Noord-Holland
Bovenkerk,,2821–2821,Krimpenerwaard,Zuid-Holland
Bovenrijge,,9791–9791,Groningen,Groningen
Bovensluis,,4797–4797,Moerdijk,Noord-Brabant
Bovensmilde,3007,9421–9421,Midden-Drenthe,Drenthe
Bovenstad,,2861–2861,Krimpenerwaard,Zuid-Holland
Bovenstehuis / Bovenste Huis (?),,5427–5427,Boekel,Noord-Brabant
Bovenstreek,,9511–9511,Aa en Hunze,Drenthe
Bovenstreek,,9678–9678,Oldambt,Groningen
Boxmeer,1215,5831–5831,Boxmeer,Noord-Brabant
Boxtel,2439,5281–5283,Boxtel,Noord-Brabant
Braakhoek,,5094–5094,Reusel-De Mierden,Noord-Brabant
Den Braam,,7481–7481,Haaksbergen,Overijssel
Braamberg,,7776–7776,Hardenberg,Overijssel
Braamberg,,9584–9584,Stadskanaal,Groningen
Braambos(ch) (?),,5563–5563,Bergeijk,Noord-Brabant
Braamt,2204,7047–7047,Montferland,Gelderland
Brabander,,5801–5801,Venray,Limburg
Brakel,,5133–5133,Goirle,Noord-Brabant
Brakel,2628,5306–5306,Zaltbommel,Gelderland
Brammelo,,7482–7482,Haaksbergen,Overijssel
Brand,,5411–5411,Landerd,Noord-Brabant
Brandemolen,,5944–5944,Venlo,Limburg
Brandt,,6107–6107,Maasgouw,Limburg
Brandwijk,1981,2974–2974,Molenlanden,Zuid-Holland
Brantgum,3390,9153–9153,Noardeast-Fryslân,Fryslân
Breda,3622,4801–4839,Breda,Noord-Brabant
Bredelaar,,6662–6662,Overbetuwe,Gelderland
Bredevoort,1194,7126–7126,Aalten,Gelderland
De Bree,,2415–2415,Bodegraven-Reeuwijk,Zuid-Holland
De Bree,,3443–3443,Woerden,Utrecht
Breede,,9989–9989,Het Hogeland,Groningen
Breedenbroek,1587,7084–7084,Oude IJsselstreek,Gelderland
Breedeveen,,3956–3956,Utrechtse Heuvelrug,Utrecht
Breedeweg,,6562–6562,Berg en Dal,Gelderland
Breedschot,,4891–4891,Zundert,Noord-Brabant
Breehees,,5051–5051,Goirle,Noord-Brabant
Breemortel,,5753–5753,Deurne,Noord-Brabant
Breeveld,,3445–3445,Woerden,Utrecht
Breezand,3186,1764–1764,Hollands Kroon,Noord-Holland
Breezanddijk,2303,8766–8766,Súdwest-Fryslân,Fryslân
Breklenkamp,,7635–7635,Dinkelland,Overijssel
Brem,,5056–5056,Tilburg,Noord-Brabant
Brembosch,,4708–4708,Roosendaal,Noord-Brabant
Breskens,2965,4511–4511,Sluis,Zeeland
Breudijk,,3481–3481,Woerden,Utrecht
Breugel,,5694–5694,Son en Breugel,Noord-Brabant
Breukelen,1392,3621–3621,Stichtse Vecht,Utrecht
Breukeleveen,3004,3625–3625,Wijdemeren,Noord-Holland
Breyvin,,6039–6039,Weert,Limburg
Brielle,2368,3231–3232,Brielle,Zuid-Holland
Brigdamme,,4333–4333,Middelburg,Zeeland
Brijdorpe,,4322–4322,Schouwen-Duiveland,Zeeland
Brillerij,,9892–9892,Westerkwartier,Groningen
Briltil,2115,9805–9805,Westerkwartier,Groningen
Brinkmanshoek,,7261–7261,Berkelland,Gelderland
Britsum,3225,9055–9055,Leeuwarden,Fryslân
Britswert / Britswerd,2012,8636–8636,Súdwest-Fryslân,Fryslân
Broek,,9968–9968,Het Hogeland,Groningen
Broek,2486,8512–8512,De Fryske Marren,Fryslân
Broek,,6281–6281,Gulpen-Wittem,Limburg
Broek,,5961–5961,Horst aan de Maas,Limburg
Broek,,5738–5738,Laarbeek,Noord-Brabant
Broek,,5995–5995,Peel en Maas,Limburg
Broek,,6351–6351,Simpelveld,Limburg
Broek,,4231–4231,Vijfheerenlanden,Utrecht
Het Broek,,7031–7031,Doetinchem,Gelderland
Het Broek,,5731–5731,Geldrop-Mierlo,Noord-Brabant
Broek / De Broek (Broek-Noord),,8512–8512,De Fryske Marren,Fryslân
Broek in Waterland,1940,1151–1151,Waterland,Noord-Holland
Broek op Langedijk,1116,1721–1721,Langedijk,Noord-Holland
Broekeind,,5971–5971,Horst aan de Maas,Limburg
Broekenseind,,5528–5528,Bladel,Noord-Brabant
Broekheurne,,7544–7544,Enschede,Overijssel
Broekhoven,,5561–5561,Bergeijk,Noord-Brabant
Broekhoven,,6243–6243,Meerssen,Limburg
Broekhuizen,,7722–7722,Dalfsen,Overijssel
Broekhuizen,,7961–7961,De Wolden,Drenthe
Broekhuizen,1027,5872–5872,Horst aan de Maas,Limburg
Broekhuizen,1086,7965–7965,Meppel,Drenthe
Broekhuizenvorst,1028,5871–5871,Horst aan de Maas,Limburg
Broekkant,,6021–6021,Cranendonck,Noord-Brabant
Broekkant,,5741–5741,Laarbeek,Noord-Brabant
Broekkant,,5446–5446,Sint Anthonis,Noord-Brabant
Broekkant,,5715–5715,Someren,Noord-Brabant
Broekland,1497,8107–8107,Raalte,Overijssel
Broeksterwâld / Broeksterwoude,3265,9108–9108,Dantumadiel,Fryslân
Broekzijde,,5066–5066,Oisterwijk,Noord-Brabant
Broerdijk,,1679–1679,Medemblik,Noord-Holland
Brommelen,,6243–6243,Meerssen,Limburg
Brommelen,,6363–6363,Beekdaelen,Limburg
Bronkhorst,1530,7226–7226,Bronckhorst,Gelderland
Bronneger,1783,9527–9527,Borger-Odoorn,Drenthe
Bronnegerveen,1784,9526–9526,Borger-Odoorn,Drenthe
Bronsveen,,9665–9697,Pekela,Groningen
Brouwershaven,2674,4318–4318,Schouwen-Duiveland,Zeeland
Bruchem,2629,5314–5314,Zaltbommel,Gelderland
Brucht,1542,7696–7696,Hardenberg,Overijssel
Bruchterveld,3609,7695–7695,Hardenberg,Overijssel
Bruggen,,5451–5451,Mill en Sint Hubert,Noord-Brabant
Bruggerhuizen,,5595–5595,Heeze-Leende,Noord-Brabant
De Bruil,,7261–7261,Berkelland,Gelderland
De Bruil,,9561–9561,Westerwolde,Groningen
Bruinehaar,3320,7675–7675,Twenterand,Overijssel
Bruinisse,2675,4311–4311,Schouwen-Duiveland,Zeeland
Bruisterbosch,,6265–6265,Eijsden-Margraten,Limburg
Brumhold,,6086–6086,Leudal,Limburg
Brummen,1111,6971–6971,Brummen,Gelderland
Brunssum,2849,6441–6446,Brunssum,Limburg
Brunsting,,9411–9411,Midden-Drenthe,Drenthe
Bruntinge,3008,9435–9435,Midden-Drenthe,Drenthe
Buchten,2809,6122–6122,Sittard-Geleen,Limburg
Budel,1571,6021–6021,Cranendonck,Noord-Brabant
Budel-Dorplein,1573,6024–6024,Cranendonck,Noord-Brabant
Budel-Schoot,1572,6023–6023,Cranendonck,Noord-Brabant
Buggenum,2941,6082–6082,Leudal,Limburg
Buinen,1785,9528–9528,Borger-Odoorn,Drenthe
Buinerveen,1786,9524–9524,Borger-Odoorn,Drenthe
De Buis,,4882–4882,Zundert,Noord-Brabant
Buitenhuizen,,7961–7961,De Wolden,Drenthe
Buitenkaag,1607,2158–2158,Haarlemmermeer,Noord-Holland
Buitenpost / Bûtenpost,3175,9285–9285,Achtkarspelen,Fryslân
Buitenstverlaat / Bûtenstfallaat,,9206–9206,Smallingerland,Fryslân
Bulkemsbroek,,6369–6369,Simpelveld,Limburg
Bulkenaar,,4708–4708,Roosendaal,Noord-Brabant
Bullenkamp,,6603–6603,Wijchen,Gelderland
De Bult,,9696–9696,Westerwolde,Groningen
De Bult,2697,8346–8346,Steenwijkerland,Overijssel
Bultinge,,7935–7935,De Wolden,Drenthe
Bunde,1461,6241–6241,Meerssen,Limburg
Bunne,2914,9496–9496,Tynaarlo,Drenthe
Bunnik,2603,3981–3981,Bunnik,Utrecht
Bunschoten-Spakenburg,2237,3751–3752,Bunschoten,Utrecht
Burdaard / Birdaard,3200,9111–9112,Noardeast-Fryslân,Fryslân
Buren,3372,4116–4116,Buren,Gelderland
Buren / Bueren,2589,9164–9164,Ameland,Fryslân
Den Burg,2740,1791–1791,Texel,Noord-Holland
Burgemeester Beinsdorp,,9561–9561,Westerwolde,Groningen
Burgerbrug,2762,1754–1754,Schagen,Noord-Holland
Burgersdijk,,3155–3155,Midden-Delfland,Zuid-Holland
Burgersdijk,,2678–2678,Westland,Zuid-Holland
Burgerveen,1603,2154–2154,Haarlemmermeer,Noord-Holland
Burgervlotbrug,,1754–1754,Schagen,Noord-Holland
Burgh,,4328–4328,Schouwen-Duiveland,Zeeland
Burgh-Haamstede,2676,4328–4328,Schouwen-Duiveland,Zeeland
Burghsluis,,4328–4328,Schouwen-Duiveland,Zeeland
Burgt,,5427–5427,Boekel,Noord-Brabant
Burgum / Bergum,2451,9251–9251,Tytsjerksteradiel,Fryslân
Burgwerd / Burchwert,2304,8742–8742,Súdwest-Fryslân,Fryslân
Burum,3308,9851–9851,Noardeast-Fryslân,Fryslân
Bus,,5388–5388,Bernheze,Noord-Brabant
Bus,,5466–5466,Meierijstad,Noord-Brabant
De Bus,,5482–5482,Meierijstad,Noord-Brabant
De Bus,,5492–5492,Meierijstad,Noord-Brabant
Bussel,,5721–5721,Asten,Noord-Brabant
Busselte,,7973–7973,Westerveld,Drenthe
Bussereind,,5954–5954,Beesel,Limburg
Bussloo,,7383–7383,Voorst,Gelderland
Bussum,1331,1401–1406,Gooise Meren,Noord-Holland
Buttinga,,8431–8431,Ooststellingwerf,Fryslân
Buttinge,,4364–4364,Veere,Zeeland
Buurmalsen,3532,4197–4197,West Betuwe,Gelderland
Buurmalsen,3373,4116–4116,Buren,Gelderland
Buurse,,7481–7481,Haaksbergen,Overijssel
De Buurt,,1679–1679,Medemblik,Noord-Holland
t Buurtje,,1751–1751,Schagen,Noord-Holland
Buurtje,,4254–4254,Altena,Noord-Brabant
Buweklooster / Bouwekleaster,,9281–9281,Achtkarspelen,Fryslân
Cabauw,,3411–3411,Lopik,Utrecht
Cadier en Keer,1692,6267–6267,Eijsden-Margraten,Limburg
Cadzand,2964,4506–4506,Sluis,Zeeland
Cadzand-Bad,,4506–4506,Sluis,Zeeland
Calfven,,4641–4641,Woensdrecht,Noord-Brabant
Californië,,5971–5971,Horst aan de Maas,Limburg
Californië,,5321–5321,Maasdriel,Gelderland
Callantsoog,2757,1759–1759,Schagen,Noord-Holland
Calslagen,,1433–1433,Aalsmeer,Noord-Holland
Caluna,,6093–6093,Leudal,Limburg
Camerig,,6294–6294,Vaals,Limburg
Capelle,,5161–5161,Waalwijk,Noord-Brabant
Capelle aan den IJssel,1105,2901–2909,Capelle aan den IJssel,Zuid-Holland
Capelle-West,,2901–2901,Capelle aan den IJssel,Zuid-Holland
Carnisse,,2993–2993,Barendrecht,Zuid-Holland
Cartils,,6286–6286,Gulpen-Wittem,Limburg
Castelre,2885,5114–5114,Baarle-Nassau,Noord-Brabant
Castelré,,5114–5114,Baarle-Nassau,Noord-Brabant
Castenray,2328,5811–5811,Venray,Limburg
Casteren,1067,5529–5529,Bladel,Noord-Brabant
Castert,,6005–6005,Weert,Limburg
Castricum,2268,1901–1902,Castricum,Noord-Holland
Catsop,,6181–6181,Stein,Limburg
Cattenbroek,,3461–3461,Montfoort,Utrecht
Cellemuiden,,8281–8281,Zwartewaterland,Overijssel
Ceresdorp,,9502–9502,Stadskanaal,Groningen
Chaam,3433,4861–4861,Alphen-Chaam,Noord-Brabant
Chaamdijk,,4861–4861,Alphen-Chaam,Noord-Brabant
Clinge,3092,4567–4567,Hulst,Zeeland
De Cocksdorp,2737,1795–1795,Texel,Noord-Holland
Coevorden,2147,7741–7742,Coevorden,Drenthe
Coldenhove,,6961–6961,Brummen,Gelderland
Colijnsplaat,3190,4486–4486,Noord-Beveland,Zeeland
t Coll,,5641–5641,Eindhoven,Noord-Brabant
Collendoorn,1544,7798–7798,Hardenberg,Overijssel
Collendoornerveen,,7798–7798,Hardenberg,Overijssel
Colmont,,6367–6367,Voerendaal,Limburg
Colmschate,2855,7429–7429,Deventer,Overijssel
Commissiepolle,,8537–8537,De Fryske Marren,Fryslân
Cornwerd / Koarnwert,2305,8753–8753,Súdwest-Fryslân,Fryslân
Cortenoever,,6971–6971,Brummen,Gelderland
Cothen,1304,3945–3945,Wijk bij Duurstede,Utrecht
Cottessen,,6294–6294,Vaals,Limburg
Couwelaar / Cauwelaer (?),,4858–4858,Alphen-Chaam,Noord-Brabant
Crailo,,1272–1272,Huizen,Noord-Holland
Cranendonck,,6027–6027,Cranendonck,Noord-Brabant
Crapoel,,6271–6271,Gulpen-Wittem,Limburg
Craubeek,,6343–6343,Voerendaal,Limburg
Creil,1281,8312–8312,Noordoostpolder,Flevoland
Crixhoek,,6039–6039,Weert,Limburg
Crob,,4175–4175,West Betuwe,Gelderland
Cromvoirt,1620,5266–5266,Vught,Noord-Brabant
Croy,,5708–5735,Helmond,Noord-Brabant
Cruquius,1612,2142–2142,Haarlemmermeer,Noord-Holland
Crèvecoeur,,5221–5221,s-Hertogenbosch,Noord-Brabant
Cuijk,1450,5431–5432,Cuijk,Noord-Brabant
Culemborg,2052,4101–4107,Culemborg,Gelderland
Daarle,1038,7688–7688,Hellendoorn,Overijssel
Daarlerveen,1039,7687–7687,Hellendoorn,Overijssel
Dal,,6281–6281,Gulpen-Wittem,Limburg
Daland,,5815–5815,Venray,Limburg
Dale,,7122–7122,Aalten,Gelderland
Dalem,,5527–5527,Bladel,Noord-Brabant
Dalem,2300,4213–4213,Gorinchem,Zuid-Holland
Dalen,2148,7751–7751,Coevorden,Drenthe
Dalerend,,7753–7753,Coevorden,Drenthe
Dalerpeel,2149,7753–7753,Coevorden,Drenthe
Dalerveen,2150,7755–7755,Coevorden,Drenthe
Dalfsen,1237,7721–7722,Dalfsen,Overijssel
Dallingeweer,,9947–9947,Delfzijl,Groningen
Dalmsholte,2550,8146–8146,Ommen,Overijssel
Dam,,6595–6595,Gennep,Limburg
Damwâld / Damwoude,3266,9104–9104,Dantumadiel,Fryslân
Daniken,,6174–6174,Beekdaelen,Limburg
Darp,3106,7973–7973,Westerveld,Drenthe
Darthuizen,,3956–3956,Utrechtse Heuvelrug,Utrecht
Dassemus,,4861–4861,Alphen-Chaam,Noord-Brabant
Dearsum,2526,8643–8643,Súdwest-Fryslân,Fryslân
Dedemsvaart,1546,7701–7702,Hardenberg,Overijssel
Dedgum / Dedzjum,2306,8764–8764,Súdwest-Fryslân,Fryslân
Deelen,2773,6877–6877,Ede,Gelderland
Deelse Kampen,,5421–5421,Gemert-Bakel,Noord-Brabant
Deelshurk,,5556–5556,Valkenswaard,Noord-Brabant
Deense Hoek,,5737–5737,Laarbeek,Noord-Brabant
Deest,2903,6653–6653,Druten,Gelderland
Den Deijl,,2245–2245,Wassenaar,Zuid-Holland
Deil,3217,4158–4158,West Betuwe,Gelderland
Deinum,2727,9033–9033,Waadhoeke,Fryslân
Dekeshorst,,5988–5988,Peel en Maas,Limburg
Dekkershuizen,,9909–9909,Delfzijl,Groningen
Delburen / Delbuorren,,8565–8565,De Fryske Marren,Fryslân
